,compound,create_date,negative,neutral,news_media,positive,tweets_ago
72,0.0,2017-09-20 18:55:23+00:00,0.0,1.0,nytimes,0.0,-72
73,-0.128,2017-09-20 18:45:49+00:00,0.137,0.747,nytimes,0.116,-73
74,0.0,2017-09-20 18:35:10+00:00,0.0,1.0,nytimes,0.0,-74
75,0.4588,2017-09-20 18:20:09+00:00,0.149,0.62,nytimes,0.231,-75
76,0.0,2017-09-20 18:10:05+00:00,0.0,1.0,nytimes,0.0,-76
77,0.0,2017-09-20 18:09:47+00:00,0.0,1.0,nytimes,0.0,-77
78,-0.6124,2017-09-20 18:00:10+00:00,0.217,0.783,nytimes,0.0,-78
79,0.0,2017-09-20 17:50:52+00:00,0.0,1.0,nytimes,0.0,-79
80,-0.4588,2017-09-20 17:50:06+00:00,0.167,0.833,nytimes,0.0,-80
81,0.296,2017-09-20 17:40:07+00:00,0.0,0.855,nytimes,0.145,-81
82,0.0,2017-09-20 17:31:34+00:00,0.0,1.0,nytimes,0.0,-82
83,-0.4404,2017-09-20 17:30:12+00:00,0.146,0.854,nytimes,0.0,-83
84,-0.6705,2017-09-20 17:20:10+00:00,0.176,0.824,nytimes,0.0,-84
85,-0.5624,2017-09-20 17:10:14+00:00,0.239,0.668,nytimes,0.093,-85
86,0.0,2017-09-20 17:00:22+00:00,0.0,1.0,nytimes,0.0,-86
87,-0.0516,2017-09-20 16:50:03+00:00,0.183,0.594,nytimes,0.223,-87
88,-0.4767,2017-09-20 16:40:05+00:00,0.162,0.838,nytimes,0.0,-88
89,-0.5106,2017-09-20 16:30:31+00:00,0.155,0.845,nytimes,0.0,-89
90,0.5859,2017-09-20 16:20:01+00:00,0.0,0.817,nytimes,0.183,-90
91,-0.2023,2017-09-20 16:16:42+00:00,0.18,0.68,nytimes,0.141,-91
92,-0.1027,2017-09-20 16:14:31+00:00,0.151,0.714,nytimes,0.134,-92
93,-0.3612,2017-09-20 16:10:06+00:00,0.135,0.865,nytimes,0.0,-93
94,0.0,2017-09-20 16:08:55+00:00,0.0,1.0,nytimes,0.0,-94
95,-0.4199,2017-09-20 16:00:22+00:00,0.141,0.859,nytimes,0.0,-95
96,-0.2732,2017-09-20 15:50:09+00:00,0.1,0.9,nytimes,0.0,-96
97,0.0,2017-09-20 15:40:06+00:00,0.0,1.0,nytimes,0.0,-97
98,-0.2755,2017-09-20 15:35:06+00:00,0.105,0.895,nytimes,0.0,-98
99,0.0,2017-09-20 15:30:05+00:00,0.0,1.0,nytimes,0.0,-99
0,-0.0772,2017-09-21 09:44:07+00:00,0.098,0.902,CNN,0.0,0
1,0.0,2017-09-21 09:40:29+00:00,0.0,1.0,CNN,0.0,-1
2,0.7906,2017-09-21 09:34:03+00:00,0.0,0.65,CNN,0.35,-2
3,0.5233,2017-09-21 09:29:07+00:00,0.0,0.842,CNN,0.158,-3
4,-0.4939,2017-09-21 09:23:45+00:00,0.176,0.824,CNN,0.0,-4
5,0.6705,2017-09-21 09:00:15+00:00,0.0,0.718,CNN,0.282,-5
6,-0.4215,2017-09-21 08:46:08+00:00,0.177,0.823,CNN,0.0,-6
7,0.0,2017-09-21 08:37:02+00:00,0.0,1.0,CNN,0.0,-7
8,-0.6597,2017-09-21 08:28:04+00:00,0.283,0.615,CNN,0.102,-8
9,0.5267,2017-09-21 08:19:01+00:00,0.0,0.841,CNN,0.159,-9
10,0.0,2017-09-21 08:10:57+00:00,0.0,1.0,CNN,0.0,-10
11,-0.2263,2017-09-21 08:01:02+00:00,0.101,0.899,CNN,0.0,-11
12,-0.1027,2017-09-21 07:53:06+00:00,0.119,0.78,CNN,0.101,-12
13,-0.4215,2017-09-21 07:46:03+00:00,0.141,0.859,CNN,0.0,-13
14,0.0,2017-09-21 07:40:05+00:00,0.0,1.0,CNN,0.0,-14
15,0.0,2017-09-21 07:32:02+00:00,0.0,1.0,CNN,0.0,-15
16,0.0,2017-09-21 07:20:06+00:00,0.0,1.0,CNN,0.0,-16
17,-0.4939,2017-09-21 07:10:08+00:00,0.176,0.824,CNN,0.0,-17
18,0.5233,2017-09-21 07:01:03+00:00,0.0,0.842,CNN,0.158,-18
19,-0.4939,2017-09-21 06:52:04+00:00,0.208,0.792,CNN,0.0,-19
20,0.296,2017-09-21 06:45:05+00:00,0.087,0.75,CNN,0.163,-20
21,-0.25,2017-09-21 06:38:05+00:00,0.19,0.693,CNN,0.117,-21
22,0.4019,2017-09-21 06:31:10+00:00,0.0,0.856,CNN,0.144,-22
23,-0.0772,2017-09-21 06:23:44+00:00,0.1,0.813,CNN,0.086,-23
24,-0.5106,2017-09-21 06:16:04+00:00,0.191,0.809,CNN,0.0,-24
25,0.0,2017-09-21 06:01:06+00:00,0.0,1.0,CNN,0.0,-25
26,0.0772,2017-09-21 05:55:06+00:00,0.167,0.651,CNN,0.181,-26
27,-0.6597,2017-09-21 05:46:04+00:00,0.278,0.722,CNN,0.0,-27
28,0.0,2017-09-21 05:38:56+00:00,0.0,1.0,CNN,0.0,-28
29,-0.7579,2017-09-21 05:31:06+00:00,0.289,0.711,CNN,0.0,-29
30,-0.3182,2017-09-21 05:17:39+00:00,0.119,0.881,CNN,0.0,-30
31,-0.0772,2017-09-21 05:16:06+00:00,0.098,0.902,CNN,0.0,-31
32,-0.3182,2017-09-21 05:12:06+00:00,0.119,0.881,CNN,0.0,-32
33,-0.4939,2017-09-21 05:01:13+00:00,0.176,0.824,CNN,0.0,-33
34,0.5267,2017-09-21 04:54:07+00:00,0.0,0.841,CNN,0.159,-34
35,-0.3182,2017-09-21 04:46:07+00:00,0.173,0.827,CNN,0.0,-35
36,0.0,2017-09-21 04:40:03+00:00,0.0,1.0,CNN,0.0,-36
37,0.34,2017-09-21 04:39:21+00:00,0.0,0.876,CNN,0.124,-37
38,-0.6597,2017-09-21 04:34:04+00:00,0.283,0.615,CNN,0.102,-38
39,0.1027,2017-09-21 04:31:08+00:00,0.156,0.667,CNN,0.178,-39
40,0.7269,2017-09-21 04:24:07+00:00,0.0,0.697,CNN,0.303,-40
41,0.1531,2017-09-21 04:16:04+00:00,0.131,0.707,CNN,0.162,-41
42,0.0,2017-09-21 04:08:02+00:00,0.0,1.0,CNN,0.0,-42
43,0.25,2017-09-21 04:01:45+00:00,0.0,0.905,CNN,0.095,-43
44,-0.5574,2017-09-21 03:53:03+00:00,0.205,0.795,CNN,0.0,-44
45,0.0,2017-09-21 03:51:06+00:00,0.0,1.0,CNN,0.0,-45
46,0.296,2017-09-21 03:42:00+00:00,0.128,0.671,CNN,0.201,-46
47,0.6705,2017-09-21 03:26:05+00:00,0.0,0.621,CNN,0.379,-47
